name,size,percent
dec,28695381,26.7
ra,28326793,26.3
_healpix_29,24768977,23.0
diaObjectId,20258904,18.8
radecMjdTai,4465125,4.2
nDiaSources,1026881,1.0
Dir,659,0.0
Npix,659,0.0
Norder,563,0.0
