MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3049020020794,17.196,0.243,58.83503,-48.79115,53717.52944,0
3049020020794,17.402,0.271,58.83512,-48.79123,53717.53722,0
3049020020794,17.571,0.297,58.83515,-48.79110,53717.54506,0
3049020020794,17.386,0.269,58.83506,-48.79119,53717.55292,0
3049020020794,18.187,0.274,58.83519,-48.79120,53718.57938,0
3049020020794,18.049,0.256,58.83500,-48.79107,53718.58987,0
3049020020794,17.661,0.211,58.83517,-48.79127,53718.60032,0
3049020020794,17.436,0.189,58.83516,-48.79117,53718.61072,0
3049020020794,17.541,0.207,58.83512,-48.79115,53735.53741,0
3049020020794,17.674,0.222,58.83508,-48.79110,53735.54821,0
3049020020794,17.546,0.208,58.83505,-48.79115,53735.55902,0
3049020020794,17.365,0.192,58.83510,-48.79123,53735.56988,0
3049020020794,17.739,0.204,58.83503,-48.79120,53679.71021,0
3049020020794,17.723,0.203,58.83507,-48.79115,53679.71958,0
3049020020794,17.707,0.202,58.83503,-48.79120,53679.72888,0
3049020020794,17.810,0.212,58.83501,-48.79127,53679.73818,0
3049020020794,17.753,0.222,58.83509,-48.79110,53687.58304,0
3049020020794,17.505,0.197,58.83497,-48.79121,53687.59173,0
3049020020794,17.608,0.208,58.83534,-48.79119,53687.60043,0
3049020020794,17.631,0.210,58.83504,-48.79122,53687.60916,0
3049020020794,17.145,0.194,58.83510,-48.79125,53653.62976,0
3049020020794,17.199,0.200,58.83502,-48.79113,53653.63944,0
3049020020794,17.391,0.221,58.83504,-48.79117,53653.64920,0
3049020020794,17.361,0.217,58.83507,-48.79119,53653.65910,0
3049020020794,17.460,0.167,58.83492,-48.79120,53627.64180,0
3049020020794,17.558,0.174,58.83494,-48.79121,53627.65397,0
3049020020794,17.668,0.182,58.83501,-48.79118,53627.66606,0
3049020020794,17.613,0.178,58.83504,-48.79118,53627.67816,0
3049020020794,18.176,0.293,58.83502,-48.79113,54078.59316,0
3049020020794,18.147,0.282,58.83502,-48.79110,54078.60686,0
3049020020794,18.353,0.315,58.83509,-48.79130,54078.62057,0
3049020020794,18.315,0.313,58.83515,-48.79118,54078.63425,0
3049020020794,18.071,0.267,58.83506,-48.79119,54086.53173,0
3049020020794,17.841,0.237,58.83535,-48.79115,54086.54045,0
3049020020794,17.923,0.248,58.83504,-48.79115,54086.54907,0
3049020020794,18.045,0.263,58.83520,-48.79118,54086.55769,0
3049020020794,17.588,0.168,58.83510,-48.79118,53764.48108,0
3049020020794,17.413,0.155,58.83529,-48.79134,53764.49039,0
3049020020794,17.632,0.172,58.83507,-48.79118,53764.49969,0
3049020020794,17.594,0.170,58.83516,-48.79123,53764.50901,0
3049020020794,18.189,0.274,58.83493,-48.79119,53915.79664,0
3049020020794,18.003,0.249,58.83514,-48.79120,53915.80532,0
3049020020794,18.160,0.270,58.83491,-48.79123,53915.81411,0
3049020020794,18.300,0.289,58.83489,-48.79102,53915.82305,0
3049020020794,18.091,0.213,58.83499,-48.79119,54048.63869,0
3049020020794,18.128,0.217,58.83509,-48.79114,54048.65651,0
3049020020794,18.354,0.243,58.83506,-48.79110,54048.67439,0
3049020020794,18.081,0.213,58.83491,-48.79128,54048.69229,0
3049020020794,18.414,0.328,58.83497,-48.79103,54061.57454,0
3049020020794,18.139,0.283,58.83513,-48.79118,54061.58386,0
3049020020794,18.228,0.298,58.83500,-48.79111,54061.59314,0
3049020020794,18.026,0.268,58.83517,-48.79112,54061.60239,0
3049020020794,17.452,0.196,58.83497,-48.79099,54068.58884,0
3049020020794,17.252,0.178,58.83508,-48.79139,54068.59493,0
3049020020794,17.634,0.214,58.83519,-48.79111,54068.60102,0
3049020020794,17.465,0.197,58.83503,-48.79116,54068.60709,0
3049020020794,17.803,0.222,58.83497,-48.79117,54012.71686,0
3049020020794,17.698,0.211,58.83507,-48.79105,54012.72796,0
3049020020794,17.846,0.227,58.83508,-48.79120,54012.73901,0
3049020020794,17.778,0.220,58.83496,-48.79122,54012.75008,0
3049020020794,17.891,0.238,58.83514,-48.79117,54032.66279,0
3049020020794,17.706,0.218,58.83509,-48.79117,54032.67370,0
3049020020794,17.946,0.247,58.83494,-48.79112,54032.68476,0
3049020020794,17.917,0.245,58.83487,-48.79114,54032.69563,0
3049020020794,17.675,0.258,58.83501,-48.79110,53979.77317,0
3049020020794,17.467,0.199,58.83494,-48.79120,53979.78145,0
3049020020794,17.383,0.182,58.83500,-48.79115,53979.78969,0
3049020020794,17.414,0.182,58.83505,-48.79120,53979.79785,0
3049020020794,17.201,0.167,58.83515,-48.79120,53996.77083,0
3049020020794,17.223,0.169,58.83504,-48.79118,53996.77693,0
3049020020794,17.302,0.175,58.83507,-48.79114,53996.78300,0
3049020020794,17.303,0.175,58.83495,-48.79114,53996.78922,0
3049020020794,17.743,0.217,58.83504,-48.79118,54337.76240,0
3049020020794,17.718,0.215,58.83515,-48.79125,54337.76775,0
3049020020794,17.648,0.208,58.83506,-48.79122,54337.77330,0
3049020020794,17.708,0.214,58.83507,-48.79113,54337.77873,0
3049020020794,18.234,0.344,58.83512,-48.79117,54462.55754,0
3049020020794,18.050,0.311,58.83506,-48.79119,54462.56627,0
3049020020794,17.798,0.273,58.83511,-48.79115,54462.57504,0
3049020020794,18.083,0.319,58.83488,-48.79118,54462.58383,0
3049020020794,17.953,0.296,58.83502,-48.79119,54118.51353,0
3049020020794,17.804,0.279,58.83513,-48.79109,54118.52228,0
3049020020794,17.684,0.219,58.83499,-48.79113,54119.48923,0
3049020020794,17.574,0.208,58.83505,-48.79118,54119.49797,0
3049020020794,17.482,0.199,58.83506,-48.79121,54119.50669,0
3049020020794,17.685,0.220,58.83495,-48.79117,54119.51546,0
3049020020794,18.002,0.281,58.83501,-48.79109,54178.44824,0
3049020020794,17.950,0.275,58.83524,-48.79124,54178.45267,0
3049020020794,17.999,0.283,58.83504,-48.79111,54178.45712,0
3049020020794,17.702,0.243,58.83517,-48.79131,54178.46157,0
3049020020794,18.124,0.213,58.83518,-48.79123,54417.71603,0
3049020020794,18.151,0.217,58.83521,-48.79129,54417.72704,0
3049020020794,18.087,0.210,58.83513,-48.79126,54417.73855,0
3049020020794,16.974,0.127,58.83510,-48.79094,54417.74951,0
3049020020794,17.404,0.193,58.83525,-48.79125,54393.64493,0
3049020020794,17.589,0.210,58.83504,-48.79125,54393.65464,0
3049020020794,17.448,0.196,58.83505,-48.79124,54393.66414,0
3049020020794,17.541,0.205,58.83502,-48.79115,54393.67329,0
3049020020794,17.766,0.220,58.83502,-48.79115,54355.71941,0
3049020020794,17.679,0.211,58.83509,-48.79112,54355.72717,0
3049020020794,17.414,0.186,58.83501,-48.79120,54355.73490,0
3049020020794,17.332,0.178,58.83503,-48.79118,54355.74274,0
3049020020794,18.167,0.261,58.83498,-48.79112,54808.50748,0
3049020020794,18.111,0.253,58.83511,-48.79131,54808.51613,0
3049020020794,17.835,0.220,58.83509,-48.79114,54808.52479,0
3049020020794,18.013,0.240,58.83511,-48.79117,54808.53345,0
3049020020794,17.985,0.206,58.83504,-48.79113,54509.42516,0
3049020020794,17.992,0.208,58.83505,-48.79118,54509.43610,0
3049020020794,18.103,0.220,58.83498,-48.79122,54509.44700,0
3049020020794,17.854,0.195,58.83511,-48.79120,54509.45789,0
3049020020794,18.110,0.219,58.83513,-48.79125,54531.43879,0
3049020020794,18.098,0.218,58.83510,-48.79113,54531.44537,0
3049020020794,18.030,0.212,58.83497,-48.79125,54531.45193,0
3049020020794,17.930,0.202,58.83519,-48.79136,54531.45850,0
3049020020794,17.798,0.166,58.83496,-48.79116,54776.58964,0
3049020020794,17.778,0.165,58.83505,-48.79117,54776.60042,0
3049020020794,17.868,0.172,58.83500,-48.79119,54776.61130,0
3049020020794,17.856,0.170,58.83501,-48.79116,54776.62229,0
3049020020794,17.999,0.182,58.83495,-48.79114,54754.68134,0
3049020020794,17.951,0.179,58.83502,-48.79113,54754.69284,0
3049020020794,18.080,0.192,58.83509,-48.79107,54754.70433,0
3049020020794,18.065,0.192,58.83514,-48.79136,54754.71581,0
3049020020794,17.612,0.151,58.83517,-48.79118,54721.67611,0
3049020020794,17.431,0.140,58.83496,-48.79114,54721.67944,0
3049020020794,17.539,0.146,58.83499,-48.79115,54721.68277,0
3049020020794,17.631,0.152,58.83490,-48.79114,54721.68608,0
3049020020794,17.740,0.197,58.83501,-48.79120,55188.47542,0
3049020020794,17.694,0.194,58.83504,-48.79115,55188.48450,0
3049020020794,17.882,0.212,58.83494,-48.79107,55188.49360,0
3049020020794,17.610,0.188,58.83514,-48.79109,55188.50265,0
3049020020794,17.879,0.176,58.83512,-48.79118,54866.47137,0
3049020020794,17.621,0.157,58.83501,-48.79125,54866.47784,0
3049020020794,17.931,0.181,58.83519,-48.79104,54866.48432,0
3049020020794,17.654,0.160,58.83516,-48.79117,54866.49082,0
3049020020794,17.912,0.172,58.83512,-48.79111,54836.53173,0
3049020020794,18.010,0.180,58.83500,-48.79104,54836.54309,0
3049020020794,17.926,0.173,58.83505,-48.79112,54836.55445,0
3049020020794,17.977,0.178,58.83516,-48.79110,54836.56580,0
3049020020794,18.016,0.187,58.83512,-48.79112,54895.40427,0
3049020020794,18.033,0.189,58.83502,-48.79121,54895.41069,0
3049020020794,17.947,0.182,58.83497,-48.79111,54895.41712,0
3049020020794,17.977,0.185,58.83528,-48.79122,54895.42355,0
3049020020794,17.828,0.170,58.83510,-48.79122,54913.39785,0
3049020020794,17.721,0.163,58.83517,-48.79121,54913.40428,0
3049020020794,17.783,0.168,58.83498,-48.79123,54913.41071,0
3049020020794,18.015,0.188,58.83514,-48.79113,54913.41714,0
3049020020794,17.953,0.157,58.83503,-48.79105,55155.60337,0
3049020020794,18.014,0.161,58.83486,-48.79096,55155.61629,0
3049020020794,18.045,0.164,58.83504,-48.79102,55155.62920,0
3049020020794,18.015,0.161,58.83509,-48.79113,55155.64214,0
3049020020794,17.996,0.188,58.83486,-48.79110,55126.63227,0
3049020020794,17.988,0.216,58.83500,-48.79105,55126.64032,0
3049020020794,18.104,0.236,58.83498,-48.79118,55126.64835,0
3049020020794,17.953,0.209,58.83503,-48.79120,55126.65637,0
3049020020794,17.425,0.176,58.83494,-48.79122,55094.64032,0
3049020020794,17.503,0.179,58.83491,-48.79115,55094.64866,0
3049020020794,17.403,0.176,58.83504,-48.79116,55094.65700,0
3049020020794,17.319,0.163,58.83499,-48.79117,55094.66536,0
3049020020794,17.628,0.159,58.83498,-48.79120,55551.61437,0
3049020020794,17.370,0.143,58.83512,-48.79118,55551.63931,0
3049020020794,17.784,0.227,58.83516,-48.79113,55275.43919,0
3049020020794,18.528,0.394,58.83487,-48.79113,55505.71277,0
3049020020794,17.466,0.139,58.83512,-48.79118,55505.74036,0
3049020020794,18.155,0.207,58.83511,-48.79119,55591.51091,0
3049020020794,18.146,0.207,58.83509,-48.79116,55591.53040,0
3049020020794,18.196,0.214,58.83501,-48.79109,55621.45668,0
3049020020794,17.933,0.188,58.83494,-48.79111,55621.47795,0
3049020020794,17.967,0.162,58.83511,-48.79121,55475.69081,0
3049020020794,17.863,0.156,58.83507,-48.79118,55475.72288,0
3049020020794,18.113,0.148,58.83487,-48.79109,55821.66542,0
3049020020794,18.262,0.158,58.83516,-48.79115,55821.68070,0
3049020020794,18.049,0.144,58.83492,-48.79114,55821.69595,0
3049020020794,18.074,0.146,58.83473,-48.79099,55821.71120,0
3049020020794,17.879,0.175,58.83502,-48.79120,55866.64341,0
3049020020794,17.861,0.175,58.83493,-48.79106,55866.65402,0
3049020020794,17.839,0.172,58.83507,-48.79117,55866.66477,0
3049020020794,17.840,0.174,58.83502,-48.79116,55866.71247,0
3049020020794,17.509,0.103,58.83510,-48.79105,56223.71641,0
3049020020794,17.436,0.101,58.83503,-48.79116,56223.72576,0
3049020020794,17.478,0.102,58.83496,-48.79101,56223.73517,0
3049020020794,17.412,0.100,58.83501,-48.79117,56223.74467,0
3049020020794,17.868,0.160,58.83503,-48.79109,56264.54649,0
3049020020794,17.682,0.148,58.83531,-48.79102,56264.55977,0
3049020020794,17.642,0.146,58.83483,-48.79113,56264.57353,0
3049020020794,18.104,0.179,58.83494,-48.79082,56264.58670,0
3049020020794,17.709,0.150,58.83517,-48.79126,56393.38717,0
3049020020794,17.595,0.143,58.83511,-48.79132,56393.39252,0
3049020020794,17.702,0.150,58.83526,-48.79119,56393.39787,0
3049020020794,17.735,0.153,58.83509,-48.79115,56393.40323,0
3049020020794,18.249,0.291,58.83505,-48.79108,55275.44302,0
3049020020794,17.890,0.242,58.83512,-48.79102,55275.44689,0
3049020020794,17.849,0.237,58.83508,-48.79118,55275.45072,0
3049020020794,17.296,0.135,58.83497,-48.79121,55505.72196,0
3049020020794,17.459,0.137,58.83500,-48.79114,55505.73116,0
3049020020794,17.485,0.149,58.83508,-48.79116,55551.62259,0
3049020020794,17.752,0.167,58.83511,-48.79105,55551.63090,0
