###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57297.567671  16.021  0.033  1418   47 o  0   1.18  95.12419 -25.04329  7063.69 10381.23 4.76 3.83 -70.4 -0.471 18.46 19.59 02a57297o0401o
57298.565131  15.737  0.030  1842   54 o  0   0.92  95.12419 -25.04329  7076.48 10382.97 4.78 3.97 -71.1 -0.459 18.44 19.64 02a57298o0554o
57303.530761  15.727  0.018  1859   33 o  0   1.40  95.12419 -25.04329  8485.08  8938.49 4.66 3.58 -85.7 -0.473 18.93 20.54 02a57303o0365o
57304.553595  15.931  0.023  1540   35 c  0   1.14  95.12419 -25.04329  7072.02 10384.66 4.87 3.69  77.3 -0.423 19.08 21.01 02a57304o0517c
57304.577383  16.058  0.024  1370   33 c  0   0.93  95.12419 -25.04329  7065.96 10388.38 4.97 3.69  87.5 -0.420 19.16 21.08 02a57304o0554c
57304.596523  16.070  0.019  1355   26 c  0   1.44  95.12419 -25.04329  8491.05  8947.74 4.91 3.45  89.2 -0.428 19.20 21.14 02a57304o0584c
57308.551606  15.928  0.017  1545   26 c  0   1.12  95.12419 -25.04329  7073.70 10391.99 4.91 4.22 -78.8 -0.403 19.31 21.34 02a57308o0528c
57308.576014  16.080  0.017  1343   23 c  0   1.63  95.12419 -25.04329  7066.51 10398.27 4.73 4.02 -76.1 -0.418 19.42 21.42 02a57308o0565c
57308.592723  16.084  0.017  1338   22 c  0   1.42  95.12419 -25.04329  8489.89  8957.39 4.69 3.88 -89.3 -0.433 19.42 21.45 02a57308o0591c
57308.619766  16.054  0.018  1376   25 c  0   1.02  95.12419 -25.04329  8479.82  8963.79 4.73 3.83 -88.8 -0.425 19.40 21.38 02a57308o0628c
57317.494631  15.874  0.018  1623   30 c  0   1.05  95.12419 -25.04329  7148.02 10401.09 5.05 4.28 -75.9 -0.403 19.12 21.05 02a57317o0417c
57317.510051  15.984  0.020  1466   29 c  0   1.46  95.12419 -25.04329  9428.22   652.74 6.08 4.29  27.3 -0.403 19.16 21.08 02a57317o0441c
