###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57404.295765  16.748  0.348   726  253 o  0   1.02  58.83504 -48.79121   913.06  2346.77 4.28 2.22  88.0 -0.428 17.18 18.25 02a57404o0178o
57404.312703  17.325  0.347   427  148 o  0   0.94  58.83504 -48.79121  1201.52  2943.29 4.20 2.59 -88.1 -0.432 17.33 18.51 02a57404o0206o
57404.313921  17.807  1.274   274  349 o  0   1.07  58.83504 -48.79121 10264.87  2311.31 4.35 2.32 -86.6 -0.433 17.19 18.23 02a57404o0208o
57404.347240  17.809  0.543   273  148 o  0   1.10  58.83504 -48.79121  9711.64  1752.64 5.17 2.89 -70.6 -0.362 17.56 18.88 02a57404o0263o
57405.290655  17.843  1.282   265  340 o  0   0.75  58.83504 -48.79121   910.83  2341.00 4.15 2.15 -89.6 -0.447 17.03 17.99 02a57405o0170o
57405.347257  17.462  0.442   376  166 o  0   1.18  58.83504 -48.79121  9710.54  1747.05 5.22 2.84 -70.0 -0.371 17.45 18.74 02a57405o0237o
58465.383614  -0.681  1.242 6800630367 8449268032 o  0   1.22  58.83504 -48.79121  7497.53  3735.99 4.62 2.46 -87.4 -0.442 -2.66 -0.04 02a58465o0437o
58465.391867  16.907  0.405   627  254 o  0   1.23  58.83504 -48.79121  7489.17  3701.38 3.07 2.35  87.3 -0.444 17.45 20.08 02a58465o0455o
58465.399680  16.941  0.205   608  125 o  0   0.88  58.83504 -48.79121  7540.64  3779.47 2.99 2.40  81.1 -0.440 17.65 20.25 02a58465o0472o
58465.412510  17.360  0.149   413   62 o  0   1.35  58.83504 -48.79121  7568.34  3663.39 2.75 2.13  86.2 -0.453 17.96 20.35 02a58465o0500o
58467.382687  18.222  0.170   187   32 o  0   0.74  58.83504 -48.79121  5226.54  7578.35 3.60 3.37 -71.6 -0.404 18.59 20.13 01a58467o0430o
58467.390985  18.270  0.163   179   29 o  0   1.17  58.83504 -48.79121  5256.74  7649.35 4.19 3.91 -78.2 -0.386 18.57 20.16 01a58467o0448o
58467.398834  18.196  0.150   191   29 o  0   1.08  58.83504 -48.79121  5195.50  7603.67 3.92 3.64 -80.9 -0.397 18.62 20.18 01a58467o0465o
58467.407142  18.295  0.159   174   28 o  0   1.05  58.83504 -48.79121  5185.92  7752.83 4.29 3.77 -82.2 -0.374 18.62 20.20 01a58467o0483o
58469.393822  17.381  0.169   405   68 o  0   1.00  58.83504 -48.79121  1776.48  2704.63 2.83 2.33  70.5 -0.432 17.77 19.77 02a58469o0454o
58469.403042  17.396  0.150   400   60 o  0   0.98  58.83504 -48.79121  1765.17  2666.08 2.90 2.34  76.7 -0.436 17.79 19.84 02a58469o0474o
58471.378317  18.523  0.420   142   59 o  0   1.11  58.83504 -48.79121 10142.81  8670.01 5.67 4.16 -79.2 -0.282 18.06 19.29 01a58471o0347o
58471.386637  18.072  0.270   214   58 o  0   1.09  58.83504 -48.79121 10160.03  8744.02 5.98 4.26 -81.3 -0.247 18.03 19.29 01a58471o0365o
58471.390328  17.979  0.227   234   53 o  0   1.24  58.83504 -48.79121  3935.69  7676.22 3.97 3.69 -83.6 -0.421 18.07 19.30 01a58471o0373o
58471.394956  18.306  0.349   173   60 o  0   1.07  58.83504 -48.79121 10106.16  8695.69 5.93 4.30 -82.0 -0.269 18.07 19.27 01a58471o0383o
58471.395876  18.204  0.259   190   49 o  0   1.07  58.83504 -48.79121  1089.75  8784.63 3.97 3.64  86.7 -0.388 18.13 19.36 01a58471o0385o
58471.398640  17.888  0.251   254   64 o  0   1.05  58.83504 -48.79121  3961.98  7746.19 4.52 4.25 -78.0 -0.395 17.97 19.32 01a58471o0391o
58471.403252  18.565  0.433   136   59 o  0   1.18  58.83504 -48.79121 10081.33  8843.86 5.82 4.23 -84.3 -0.286 18.01 19.26 01a58471o0401o
58471.404173  18.186  0.243   193   47 o  0   1.36  58.83504 -48.79121  1104.55  8854.67 4.15 3.86 -81.3 -0.377 18.22 19.37 01a58471o0403o
58471.407401  17.981  0.223   233   52 o  0   1.02  58.83504 -48.79121  3898.08  7704.52 3.78 3.46  89.8 -0.392 18.12 19.31 01a58471o0410o
58471.412942  18.094  0.250   210   52 o  0   1.16  58.83504 -48.79121  1055.01  8813.97 4.52 3.98 -87.2 -0.364 18.18 19.35 01a58471o0422o
58471.416164  18.044  0.253   220   56 o  0   1.07  58.83504 -48.79121  3887.25  7854.68 4.23 3.78  89.4 -0.391 18.12 19.30 01a58471o0429o
58471.421707  17.967  0.224   236   53 o  0   1.02  58.83504 -48.79121  1029.78  8966.68 4.31 3.79  89.8 -0.357 18.11 19.32 01a58471o0441o
58473.385879  17.525  0.637   355  226 o  0   0.98  58.83504 -48.79121  5302.66  2786.40 3.62 3.16  82.5 -0.381 16.65 17.41 02a58473o0430o
