###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58473.394164  17.370  0.425   409  174 o  0   1.08  58.83504 -48.79121  5291.39  2749.43 3.46 2.92  84.1 -0.397 16.76 17.48 02a58473o0448o
58473.402427  18.651  1.372   126  172 o  0   1.01  58.83504 -48.79121  5343.45  2827.19 3.39 2.94  80.6 -0.374 16.78 17.54 02a58473o0466o
58479.354423  17.836  0.100   266   27 o  0   1.43  58.83504 -48.79121  8556.70  7629.88 3.97 3.39 -84.0 -0.382 18.62 20.05 01a58479o0332o
58479.362723  17.868  0.135   259   35 o  0   1.00  58.83504 -48.79121  8571.95  7702.30 4.16 3.38 -84.5 -0.376 18.50 19.82 01a58479o0350o
58479.370579  18.138  0.214   202   43 o  0   0.99  58.83504 -48.79121  8520.93  7654.22 5.08 4.17 -81.8 -0.343 18.26 19.71 01a58479o0367o
58479.378897  18.141  0.198   201   40 o  0   1.30  58.83504 -48.79121  8498.33  7803.05 4.65 3.63 -82.9 -0.343 18.38 19.63 01a58479o0385o
58485.366278  17.840  0.162   266   43 c  0   1.06  58.83504 -48.79121  3773.14  2765.88 3.42 2.71  86.0 -0.397 18.12 20.93 02a58485o0374c
58487.351923  17.444  0.058   382   22 o  0   1.21  58.83504 -48.79121  7572.39  7685.38 3.98 3.35 -82.7 -0.388 18.86 20.40 01a58487o0349o
58487.362293  17.364  0.051   411   21 o  0   1.39  58.83504 -48.79121  7586.34  7766.07 4.04 3.47 -82.2 -0.383 18.86 20.50 01a58487o0370o
58491.336238  17.475  0.066   372   24 o  0   0.96  58.83504 -48.79121  3259.44  7700.97 3.66 3.40  87.8 -0.415 18.91 20.76 01a58491o0311o
58491.344551  17.569  0.058   341   20 o  0   1.38  58.83504 -48.79121  3274.85  7771.76 3.71 3.41  83.2 -0.417 18.96 20.80 01a58491o0329o
58491.351941  17.547  0.062   348   21 o  0   1.21  58.83504 -48.79121  3224.38  7725.66 3.85 3.51  86.6 -0.416 18.97 20.82 01a58491o0345o
58491.360246  17.504  0.061   362   22 o  0   1.02  58.83504 -48.79121  3200.24  7874.20 3.88 3.49  83.9 -0.401 18.96 20.81 01a58491o0363o
58493.328967  18.600  0.356   132   47 c  0   1.03  58.83504 -48.79121  3709.38  2763.64 3.24 2.43  80.4 -0.398 18.17 20.92 02a58493o0287c
58493.336865  17.807  0.151   274   41 c  0   1.45  58.83504 -48.79121  3686.13  2725.06 3.51 2.72  83.4 -0.384 18.07 20.92 02a58493o0304c
58493.344735  17.816  0.165   271   45 c  0   1.10  58.83504 -48.79121  3737.71  2803.31 3.58 2.81  83.9 -0.395 18.07 20.93 02a58493o0321c
58495.343246  17.635  0.084   321   27 o  0   3.64  58.83504 -48.79121  3652.88  7756.23 3.60 3.26 -78.5 -0.421 18.79 20.23 01a58495o0323o
58497.323896  17.897  0.066   252   17 o  0   1.14  58.83504 -48.79121  3712.36  2762.23 2.20 2.07  76.3 -0.433 18.98 19.78 02a58497o0281o
58497.331766  17.779  0.073   281   21 o  0   0.92  58.83504 -48.79121  3688.38  2723.43 2.38 2.19 -80.1 -0.403 18.94 19.75 02a58497o0298o
58711.630349  18.916  1.189    98  117 o  0   1.35  58.83504 -48.79121  9140.25   162.42 5.04 4.67 -32.0 -0.292 16.96 18.12 01a58711o0873o
58711.633196  18.146  0.924   200  185 o  0   0.94  58.83504 -48.79121  9121.50   123.16 4.12 3.67  -5.1 -0.348 16.70 17.51 01a58711o0879o
58711.636102 -18.825  2.282  -107  244 o  0   1.12  58.83504 -48.79121  9175.60   198.53 4.14 3.71 -17.1 -0.396 16.31 16.96 01a58711o0885o
58729.600722  17.943  0.067   241   16 c  0   0.96  58.83504 -48.79121  4624.47  7745.42 2.69 2.40  45.4 -0.381 19.21 20.92 02a58729o0828c
58729.604534  18.026  0.070   224   16 c  0   1.28  58.83504 -48.79121  4642.51  7783.01 2.60 2.42 -74.8 -0.399 19.16 20.91 02a58729o0835c
58729.613155  17.999  0.064   229   15 c  0   1.13  58.83504 -48.79121  4584.64  7705.48 2.55 2.38 -72.2 -0.397 19.34 21.05 02a58729o0851c
58729.627603  17.947  0.060   241   14 c  0   0.90  58.83504 -48.79121  4561.59  7819.07 2.64 2.49  53.2 -0.382 19.31 20.95 02a58729o0879c
58729.643542  18.640  1.527   127  194 c  0   0.98  58.83504 -48.79121  5940.27  2788.26 2.88 2.53  50.3 -0.417 16.37 17.28 02a58729o0907c
58737.567941  17.808  0.191   273   52 o  0   0.95  58.83504 -48.79121  9093.78  8424.45 2.27 2.01  45.4 -0.453 18.60 19.15 02a58737o0762o
58737.570789  17.928  0.143   245   35 o  0   1.00  58.83504 -48.79121  9112.02  8464.21 2.32 2.06  50.1 -0.419 18.79 19.39 02a58737o0768o
58737.576436  18.092  0.113   210   24 o  0   1.53  58.83504 -48.79121  9053.69  8382.91 2.30 2.05  50.3 -0.415 18.89 19.50 02a58737o0780o
58737.587307  18.063  0.095   216   20 o  0   1.04  58.83504 -48.79121  9031.44  8500.35 2.34 2.13  56.4 -0.418 19.02 19.80 02a58737o0802o
58737.587764  18.098  0.100   209   21 o  0   1.14  58.83504 -48.79121   962.62  7832.08 2.11 1.98   0.3 -0.461 18.94 19.81 02a58737o0803o
58737.592144  17.880  0.075   256   19 o  0   1.09  58.83504 -48.79121   978.71  7870.23 2.09 2.01 -16.5 -0.442 19.08 19.97 02a58737o0812o
58737.597583  17.887  0.068   254   17 o  0   1.12  58.83504 -48.79121   920.95  7794.24 2.33 2.23 -29.7 -0.413 19.05 20.08 02a58737o0823o
58737.607715  17.849  0.078   263   21 o  0   1.40  58.83504 -48.79121   897.84  7910.76 2.05 1.97 -24.2 -0.441 18.84 19.81 02a58737o0844o
58753.573639  18.140  0.068   201   14 c  0   1.07  58.83504 -48.79121   635.72  2668.81 2.61 2.37 -73.7 -0.406 19.37 21.09 02a58753o0645c
58753.576875  18.195  0.074   192   14 c  0   1.19  58.83504 -48.79121   617.29  2629.29 2.69 2.39 -71.8 -0.406 19.38 21.09 02a58753o0652c
58753.582932  18.300  0.089   174   16 c  0   0.65  58.83504 -48.79121   675.93  2711.76 2.79 2.45 -68.8 -0.399 19.30 21.07 02a58753o0665c
58753.587557  18.141  0.061   201   12 c  0   1.05  58.83504 -48.79121 10246.38  2688.64 2.62 2.41 -69.5 -0.409 19.37 21.10 02a58753o0675c
58753.590820  18.205  0.070   190   13 c  0   1.29  58.83504 -48.79121 10228.16  2651.82 2.67 2.39 -66.3 -0.409 19.35 21.10 02a58753o0682c
58753.592694  18.132  0.057   203   12 c  0   1.26  58.83504 -48.79121   696.64  2596.67 2.70 2.45 -76.9 -0.401 19.31 21.10 02a58753o0686c
58753.596840  18.199  0.082   191   16 c  0   0.87  58.83504 -48.79121 10285.73  2730.01 2.68 2.37 -65.4 -0.407 19.36 21.10 02a58753o0695c
58753.608376  18.145  0.062   200   12 c  0   1.61  58.83504 -48.79121 10307.86  2614.09 2.81 2.30 -62.0 -0.415 19.36 21.12 02a58753o0720c
58757.578317  18.191  0.067   192   13 c  0   0.79  58.83504 -48.79121  6367.17  2803.54 2.73 2.57  84.4 -0.385 19.35 21.18 02a58757o0236c
58757.581282  18.189  0.067   192   13 c  0   0.91  58.83504 -48.79121  6349.26  2766.42 2.80 2.65  89.4 -0.386 19.32 21.17 02a58757o0242c
58757.587377  18.000  0.063   229   14 c  0   1.05  58.83504 -48.79121  6406.81  2843.93 2.84 2.69  78.3 -0.383 19.31 21.18 02a58757o0255c
58757.597361  17.826  0.048   269   13 c  0   1.13  58.83504 -48.79121  6428.45  2731.08 2.93 2.75 -85.7 -0.383 19.27 21.16 02a58757o0276c
58761.567418  17.592  0.042   334   14 c  0   1.13  58.83504 -48.79121  6368.88  2802.54 2.66 2.49  84.5 -0.386 19.36 21.10 02a58761o0414c
58761.571154  17.434  0.037   386   14 c  0   0.99  58.83504 -48.79121  6350.59  2766.44 2.82 2.42 -69.4 -0.376 19.34 21.09 02a58761o0422c
58761.576734  17.286  0.032   442   14 c  0   1.07  58.83504 -48.79121  6408.42  2844.97 2.73 2.39 -68.7 -0.377 19.37 21.10 02a58761o0434c
58761.586910  17.232  0.030   465   14 c  0   1.36  58.83504 -48.79121  6430.92  2730.41 2.84 2.52 -68.5 -0.379 19.33 21.14 02a58761o0456c
58765.504571  18.016  0.097   226   22 o  0   1.63  58.83504 -48.79121  4900.55  7749.43 2.08 1.95  47.8 -0.440 18.80 19.34 02a58765o0644o
58765.505028  18.122  0.120   205   25 o  0   1.16  58.83504 -48.79121  3238.44 10201.85 2.12 1.95 -75.9 -0.405 18.85 19.40 02a58765o0645o
58765.507812  17.918  0.093   247   23 o  0   1.27  58.83504 -48.79121  4918.46  7788.01 2.11 1.97  56.7 -0.443 18.86 19.36 02a58765o0651o
58765.508269  17.868  0.093   259   24 o  0   0.84  58.83504 -48.79121  3255.78 10240.50 2.03 1.90 -77.5 -0.443 18.90 19.42 02a58765o0652o
58765.517858  17.990  0.102   231   24 o  0   0.95  58.83504 -48.79121  4856.71  7710.01 2.03 1.96  47.1 -0.435 18.93 19.44 02a58765o0672o
58765.518315  17.826  0.089   269   24 o  0   0.99  58.83504 -48.79121  3195.53 10163.20 2.23 2.05 -64.0 -0.429 18.83 19.50 02a58765o0673o
58765.523272  17.636  0.056   320   18 o  0   1.46  58.83504 -48.79121  4838.32  7825.13 2.08 1.98  49.7 -0.433 18.94 19.51 02a58765o0683o
58765.523730  17.657  0.062   314   20 o  0   1.82  58.83504 -48.79121  3177.03 10279.97 2.14 1.88 -63.3 -0.435 18.95 19.56 02a58765o0684o
58765.531877  17.506  0.056   361   20 o  0   1.05  58.83504 -48.79121  4873.40  7767.36 2.35 1.90  39.9 -0.414 19.01 19.69 02a58765o0701o
58765.532792  17.530  0.057   353   20 o  0   1.21  58.83504 -48.79121  3214.11 10220.76 2.43 1.68 -56.8 -0.449 19.09 19.77 02a58765o0703o
58777.474545  17.547  0.061   348   21 o  0   1.02  58.83504 -48.79121  4375.24  7754.72 2.31 2.25  88.1 -0.410 18.87 19.67 02a58777o0543o
58777.478619  17.566  0.071   342   24 o  0   0.76  58.83504 -48.79121  4388.02  7793.48 2.59 2.25  37.4 -0.367 18.82 19.68 02a58777o0551o
58777.484139  17.550  0.053   347   18 o  0   1.48  58.83504 -48.79121  4334.91  7715.38 2.39 2.25 -69.3 -0.406 18.89 19.68 02a58777o0563o
58777.496413  17.395  0.055   400   22 o  0   0.98  58.83504 -48.79121  4313.18  7829.63 2.34 2.24 -68.7 -0.416 18.88 19.69 02a58777o0589o
58781.446089  17.680  0.064   308   20 c  0   1.01  58.83504 -48.79121  8770.75 10472.14 2.81 2.53  74.4 -0.387 19.33 20.94 02a58781o0570c
58781.448839  17.138  0.517   507  262 c  0   0.07  58.83504 -48.79121  8788.23 10514.20 2.78 2.50  80.2 -0.378 19.36 20.95 02a58781o0576c
58781.454415  17.508  0.048   360   17 c  0   1.06  58.83504 -48.79121  8730.00 10433.15 2.92 2.62  76.5 -0.380 19.36 20.96 02a58781o0588c
58781.472197  17.613  0.043   327   14 c  0   1.09  58.83504 -48.79121   785.24  7848.91 2.54 2.15 -57.8 -0.422 19.34 20.91 02a58781o0626c
58781.474956  17.607  0.046   329   15 c  0   1.46  58.83504 -48.79121   802.67  7887.63 2.47 2.36 -50.1 -0.399 19.32 20.89 02a58781o0632c
58781.480001  17.486  0.040   368   15 c  0   0.94  58.83504 -48.79121   744.27  7812.59 2.48 2.21 -53.7 -0.407 19.34 20.86 02a58781o0643c
58781.495968  17.634  0.044   321   14 c  0   1.45  58.83504 -48.79121   718.74  7928.19 2.57 2.35 -53.4 -0.399 19.24 20.85 02a58781o0677c
58785.428604  -1.395  0.943 13119182780 12365206758 c  0   1.30  58.83504 -48.79121  8767.89 10477.40 3.03 2.65 -73.9 -0.478 -2.61 -0.82 02a58785o0507c
58785.496493 -17.822  0.595  -270  161 c  0   0.42  58.83504 -48.79121  1762.07    37.65 2.51 2.19 -89.6 -0.387 19.39 21.11 02a58785o0525c
58785.499764  17.757  0.045   287   13 c  0   1.36  58.83504 -48.79121  1818.54   119.77 2.57 2.25 -83.5 -0.377 19.43 21.11 02a58785o0532c
58785.502106  17.742  0.044   291   13 c  0   1.23  58.83504 -48.79121  9759.85  2703.38 2.57 2.44 -76.2 -0.389 19.42 21.07 02a58785o0537c
58785.505808  17.823  0.044   270   12 c  0   1.27  58.83504 -48.79121  9741.41  2667.81 2.54 2.40 -67.3 -0.392 19.39 21.08 02a58785o0545c
58785.511352  17.745  0.050   290   15 c  0   0.81  58.83504 -48.79121  9798.96  2744.71 2.59 2.41 -70.2 -0.392 19.41 21.07 02a58785o0557c
58785.522030  17.811  0.043   273   12 c  0   1.52  58.83504 -48.79121  9821.11  2629.32 2.57 2.28 -67.1 -0.404 19.43 21.03 02a58785o0580c
58789.426790  17.546  0.043   348   15 c  0   1.30  58.83504 -48.79121 10297.07  7914.56 2.81 2.61  76.2 -0.389 19.34 20.95 02a58789o0426c
58789.429961  17.697  0.046   303   14 c  0   1.17  58.83504 -48.79121 10311.68  7955.19 2.88 2.60 -81.4 -0.382 19.37 20.92 02a58789o0432c
58789.435262  17.701  0.044   302   13 c  0   1.42  58.83504 -48.79121 10256.44  7874.38 2.78 2.58  65.2 -0.380 19.36 20.97 02a58789o0443c
58789.445841  17.729  0.052   294   15 c  0   1.16  58.83504 -48.79121 10236.18  7989.15 3.11 2.62 -72.9 -0.376 19.38 21.00 02a58789o0465c
58789.446756  17.773  0.049   282   14 c  0   1.19  58.83504 -48.79121   481.77  7865.76 2.69 2.20 -60.1 -0.393 19.31 20.98 02a58789o0467c
58789.450004  17.685  0.039   306   12 c  0   2.16  58.83504 -48.79121   499.36  7903.19 2.61 2.13 -56.9 -0.398 19.36 20.98 02a58789o0474c
58789.455175  17.705  0.041   301   12 c  0   1.38  58.83504 -48.79121   441.59  7827.46 2.46 2.19 -54.1 -0.392 19.36 20.99 02a58789o0485c
58789.466709  17.827  0.048   269   13 c  0   1.13  58.83504 -48.79121   416.48  7944.35 2.64 2.24 -55.2 -0.384 19.35 20.99 02a58789o0509c
58793.428797 -14.506  0.912 -5725 5221 o  0   1.08  58.83504 -48.79121 10289.59  7917.34 2.38 2.19  36.5 -0.519 13.73 14.06 02a58793o0151o
58793.453432 -15.656  4.085 -1984 8104 o  0   1.05  58.83504 -48.79121 10228.64  7991.57 2.40 2.29 -73.6 -0.522 13.02 13.49 02a58793o0204o
58793.461602   0.275  2.889 -4675569037 13507199441 o  0   1.34  58.83504 -48.79121   431.92  7825.50 2.41 2.06 -56.2 -0.398 -3.38 -2.78 02a58793o0221o
58793.477485  16.127  1.078  1286 1386 o  0   1.13  58.83504 -48.79121   449.07  7882.45 2.51 1.74 -56.7 -0.427 14.39 15.29 02a58793o0253o
58797.422331  17.756  0.230   287   66 o  0   1.28  58.83504 -48.79121  3476.34  8157.37 2.36 1.99 -60.0 -0.444 18.35 18.70 02a58797o0505o
58797.425559  17.924  0.249   246   61 o  0   1.09  58.83504 -48.79121  3494.26  8195.46 2.29 2.00 -61.5 -0.432 18.35 18.71 02a58797o0512o
58797.431923  17.792  0.244   278   68 o  0   0.95  58.83504 -48.79121  3434.48  8118.96 2.21 2.16  79.7 -0.425 18.33 18.71 02a58797o0525o
58797.442458  17.617  0.203   326   66 o  0   1.04  58.83504 -48.79121  3414.34  8234.19 2.40 2.36  73.7 -0.430 18.27 18.74 02a58797o0548o
58801.426953  17.989  0.258   232   60 o  0   1.38  58.83504 -48.79121  3468.81  8160.91 2.36 2.09  37.1 -0.388 18.35 18.70 02a58801o0530o
58801.430205  17.947  0.256   240   62 o  0   1.27  58.83504 -48.79121  3491.94  8197.43 2.33 1.98  32.3 -0.388 18.37 18.72 02a58801o0537o
58801.446990  17.740  0.194   291   56 o  0   1.01  58.83504 -48.79121  3427.18  8120.93 2.35 2.10  36.1 -0.392 18.38 18.78 02a58801o0572o
58801.454042  17.906  0.123   250   31 o  0   1.19  58.83504 -48.79121  7133.40  2316.68 2.19 2.12 -68.4 -0.411 18.40 18.80 02a58801o0587o
58813.443470  18.132  0.067   203   14 c  0   1.04  58.83504 -48.79121  7711.38  2779.60 2.68 2.51  81.0 -0.371 19.24 21.16 02a58813o0109c
58813.446421  18.294  0.070   175   12 c  0   1.17  58.83504 -48.79121  7693.30  2741.52 2.68 2.49  80.6 -0.373 19.35 21.21 02a58813o0115c
58813.451627  18.148  0.058   200   12 c  0   1.44  58.83504 -48.79121  7750.00  2819.01 2.70 2.55  89.3 -0.363 19.37 21.27 02a58813o0126c
58813.462422  18.050  0.055   219   12 c  0   1.03  58.83504 -48.79121  7771.30  2703.46 2.69 2.51 -87.7 -0.362 19.43 21.26 02a58813o0149c
58813.462879  18.130  0.070   203   14 c  0   1.14  58.83504 -48.79121  9188.95   196.78 2.85 2.20 -64.8 -0.376 19.49 21.30 02a58813o0150c
58813.467185  17.972  0.068   235   16 c  0   1.03  58.83504 -48.79121  9171.50   158.76 2.99 2.21 -60.1 -0.384 19.48 21.29 02a58813o0159c
58813.473093  18.334  0.082   168   14 c  0   1.26  58.83504 -48.79121  9226.34   236.74 2.87 2.18 -62.7 -0.416 19.47 21.31 02a58813o0171c
58813.483152  18.173  0.076   195   15 c  0   1.32  58.83504 -48.79121  9247.70   121.80 2.89 2.17 -61.7 -0.389 19.48 21.35 02a58813o0192c
58817.435145  18.033  0.268   222   60 c  0   1.31  58.83504 -48.79121  7714.02  2777.08 2.85 2.71  85.1 -0.372 17.40 19.48 02a58817o0453c
58817.435601  18.069  0.170   215   37 c  0   2.12  58.83504 -48.79121  9188.71   190.54 2.87 2.39 -66.0 -0.379 17.40 19.45 02a58817o0454c
58817.438360  18.153  0.072   199   14 c  0   0.82  58.83504 -48.79121  7695.45  2738.25 2.90 2.74 -84.7 -0.373 19.31 21.53 02a58817o0460c
58817.438818  18.073  0.076   214   16 c  0   1.08  58.83504 -48.79121  9170.82   151.80 3.08 2.54 -64.1 -0.368 19.35 21.59 02a58817o0461c
58821.388366  18.014  0.057   226   13 o  0   1.69  58.83504 -48.79121  2583.47  2745.03 2.15 1.93  44.4 -0.437 19.23 20.27 02a58821o0401o
58821.391584  17.919  0.053   247   13 o  0   1.59  58.83504 -48.79121  2565.15  2705.89 2.16 1.95  44.4 -0.437 19.24 20.28 02a58821o0408o
58821.397605  17.956  0.063   239   15 o  0   0.88  58.83504 -48.79121  2622.45  2784.83 2.16 1.92  43.2 -0.446 19.27 20.29 02a58821o0421o
58821.408641  18.213  0.076   188   14 o  0   1.02  58.83504 -48.79121  2644.01  2669.64 2.22 2.01  49.2 -0.427 19.24 20.26 02a58821o0445o
58825.373549  17.846  0.113   264   30 o  0   0.88  58.83504 -48.79121  2584.21  2746.33 2.31 2.18 -71.1 -0.426 18.46 19.11 02a58825o0410o
58825.376576  17.717  0.099   297   30 o  0   2.00  58.83504 -48.79121  7990.88  7856.13 2.46 2.14  45.0 -0.404 18.51 19.11 02a58825o0416o
58825.381830  17.693  0.119   304   36 o  0   1.91  58.83504 -48.79121  7937.10  7774.79 2.45 2.10 -67.7 -0.584 18.55 19.12 02a58825o0427o
58825.395070  18.166  0.151   196   30 o  0   0.91  58.83504 -48.79121  2643.87  2668.23 2.28 2.20  80.1 -0.426 18.49 19.13 02a58825o0455o
58829.369953  17.826  0.209   269   56 o  0   0.98  58.83504 -48.79121  3913.23  2775.34 2.52 1.99  40.4 -0.465 17.80 18.27 02a58829o0407o
58829.373177  18.052  0.192   218   42 o  0   1.25  58.83504 -48.79121  3894.82  2736.84 2.48 2.02  41.3 -0.429 17.85 18.27 02a58829o0414o
58829.379701  18.507  0.376   144   54 o  0   0.71  58.83504 -48.79121  3952.28  2817.16 2.57 2.09  42.1 -0.450 17.82 18.27 02a58829o0428o
58829.390038  17.754  0.163   287   47 o  0   1.09  58.83504 -48.79121  3972.65  2702.61 2.29 1.96  44.6 -0.461 17.88 18.25 02a58829o0450o
58837.340232  17.531  0.038   353   14 o  0   1.28  58.83504 -48.79121  2197.65  2723.02 2.34 2.26  78.8 -0.421 19.36 20.76 02a58837o0337o
58837.343077  17.604  0.041   330   14 o  0   1.26  58.83504 -48.79121  2179.61  2684.13 2.29 2.22  86.3 -0.517 19.41 20.76 02a58837o0343o
58837.349527  17.522  0.040   356   14 o  0   1.28  58.83504 -48.79121  2238.97  2764.69 2.21 2.12 -84.1 -0.432 19.42 20.77 02a58837o0357o
58837.361002  17.393  0.035   401   14 o  0   1.28  58.83504 -48.79121  2262.83  2650.77 2.34 2.05 -63.1 -0.422 19.42 20.76 02a58837o0382o
58841.329648  17.357  0.028   414   12 c  0   1.43  58.83504 -48.79121  2200.29  2723.60 2.58 2.34 -73.7 -0.400 19.58 21.48 02a58841o0313c
58841.332882  17.286  0.027   442   12 c  0   1.93  58.83504 -48.79121  2182.64  2683.29 2.55 2.33  59.5 -0.398 19.53 21.45 02a58841o0320c
58841.338398  17.288  0.028   441   12 c  0   1.57  58.83504 -48.79121  2241.67  2764.90 2.49 2.29  60.7 -0.401 19.61 21.45 02a58841o0332c
58841.351190  17.323  0.029   427   12 c  0   1.13  58.83504 -48.79121  2265.37  2650.29 2.57 2.36  59.0 -0.391 19.54 21.45 02a58841o0358c
58845.329916  17.365  0.031   411   13 c  0   1.34  58.83504 -48.79121  4166.11  2778.06 2.91 2.69 -78.7 -0.378 19.42 21.41 02a58845o0308c
58845.332758  17.365  0.032   411   13 c  0   1.39  58.83504 -48.79121  4148.57  2742.14 2.96 2.76  65.3 -0.381 19.39 21.42 02a58845o0314c
58845.338281  17.469  0.033   374   12 c  0   1.35  58.83504 -48.79121  4207.55  2820.62 2.84 2.62 -78.7 -0.386 19.44 21.43 02a58845o0326c
58845.348047  17.447  0.036   381   14 c  0   0.94  58.83504 -48.79121  4230.55  2706.33 2.92 2.74  74.4 -0.378 19.40 21.53 02a58845o0347c
58875.277769  17.324  0.046   427   20 o  0   1.28  58.83504 -48.79121  8847.77 10426.44 2.60 2.24 -80.8 -0.394 19.05 20.12 01a58875o0117o
58875.282920  17.465  0.063   375   24 o  0   1.14  58.83504 -48.79121  8866.15 10467.57 2.50 2.10 -79.4 -0.394 19.16 20.08 01a58875o0127o
58875.296546  17.448  0.055   381   21 o  0   1.06  58.83504 -48.79121  8810.17 10386.02 2.64 2.06 -78.6 -0.398 19.05 20.02 01a58875o0154o
58875.300141  17.421  0.065   390   26 o  0   1.38  58.83504 -48.79121  8793.72 10503.15 2.48 1.92 -80.5 -0.392 19.14 19.99 01a58875o0161o
59093.600402  17.558  0.116   344   40 o  0   0.84  58.83504 -48.79121   639.66  7841.44 2.26 2.02 -49.8 -0.435 18.38 18.71 02a59093o0509o
59093.618777  17.736  0.129   292   38 o  0   1.15  58.83504 -48.79121   656.61  7877.15 2.15 1.80 -56.1 -0.464 18.45 18.75 02a59093o0549o
