MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3025044039702,15.623,0.093,95.12433,-25.04332,53717.63569,0
3025044039702,15.826,0.100,95.12426,-25.04326,53717.64767,0
3025044039702,15.782,0.098,95.12429,-25.04332,53717.65975,0
3025044039702,15.842,0.100,95.12424,-25.04328,53717.67185,0
3025044039702,15.939,0.100,95.12423,-25.04329,53683.62676,0
3025044039702,15.894,0.098,95.12420,-25.04326,53683.63448,0
3025044039702,15.833,0.097,95.12423,-25.04329,53683.64222,0
3025044039702,15.741,0.094,95.12422,-25.04329,53683.65000,0
3025044039702,15.961,0.107,95.12426,-25.04329,53701.66987,0
3025044039702,15.989,0.108,95.12424,-25.04326,53701.67800,0
3025044039702,16.031,0.109,95.12424,-25.04329,53701.68607,0
3025044039702,16.119,0.113,95.12422,-25.04332,53701.69415,0
3025044039702,16.051,0.086,95.12422,-25.04326,53847.37082,0
3025044039702,16.051,0.086,95.12428,-25.04332,53847.38180,0
3025044039702,16.037,0.086,95.12424,-25.04330,53847.39278,0
3025044039702,16.048,0.087,95.12429,-25.04327,53847.40376,0
3025044039702,15.981,0.106,95.12420,-25.04328,53967.77685,0
3025044039702,16.088,0.110,95.12418,-25.04324,53967.78507,0
3025044039702,16.054,0.108,95.12420,-25.04326,53967.79328,0
3025044039702,16.044,0.108,95.12421,-25.04330,53967.80150,0
3025044039702,15.816,0.089,95.12422,-25.04329,53765.51027,0
3025044039702,15.849,0.090,95.12419,-25.04326,53765.51905,0
3025044039702,15.888,0.091,95.12421,-25.04327,53765.52784,0
3025044039702,15.957,0.093,95.12422,-25.04329,53765.53660,0
3025044039702,15.877,0.084,95.12425,-25.04329,53814.43416,0
3025044039702,15.800,0.082,95.12428,-25.04331,53814.44438,0
3025044039702,15.725,0.081,95.12427,-25.04330,53814.45416,0
3025044039702,15.726,0.081,95.12430,-25.04328,53814.46404,0
3025044039702,15.637,0.079,95.12431,-25.04330,53861.38792,0
3025044039702,15.704,0.080,95.12430,-25.04329,53861.39562,0
3025044039702,15.729,0.081,95.12430,-25.04331,53861.40330,0
3025044039702,15.737,0.081,95.12433,-25.04328,53861.41099,0
3025044039702,15.706,0.100,95.12428,-25.04328,54065.69463,0
3025044039702,15.702,0.100,95.12424,-25.04328,54065.70116,0
3025044039702,15.703,0.100,95.12422,-25.04330,54065.70780,0
3025044039702,16.102,0.202,95.12415,-25.04314,54066.56416,0
3025044039702,16.099,0.151,95.12422,-25.04324,54066.56944,0
3025044039702,16.041,0.114,95.12422,-25.04327,54066.57495,0
3025044039702,16.036,0.115,95.12420,-25.04327,54066.58042,0
3025044039702,15.688,0.095,95.12423,-25.04331,54007.72250,0
3025044039702,15.682,0.095,95.12421,-25.04331,54007.73232,0
3025044039702,15.674,0.094,95.12421,-25.04329,54007.74217,0
3025044039702,15.730,0.096,95.12421,-25.04327,54007.75206,0
3025044039702,15.953,0.110,95.12427,-25.04332,54207.44167,0
3025044039702,16.015,0.113,95.12433,-25.04333,54207.44705,0
3025044039702,16.042,0.114,95.12428,-25.04325,54207.45244,0
3025044039702,16.002,0.113,95.12425,-25.04335,54207.45782,0
3025044039702,15.809,0.109,95.12426,-25.04328,54113.56801,0
3025044039702,15.812,0.109,95.12426,-25.04335,54113.57524,0
3025044039702,15.765,0.122,95.12424,-25.04330,54113.58262,0
3025044039702,15.862,0.119,95.12420,-25.04332,54113.59005,0
3025044039702,16.010,0.110,95.12424,-25.04328,54169.51361,0
3025044039702,16.016,0.110,95.12421,-25.04326,54169.52127,0
3025044039702,16.031,0.111,95.12426,-25.04333,54169.52895,0
3025044039702,16.048,0.112,95.12423,-25.04330,54169.53663,0
3025044039702,15.642,0.095,95.12422,-25.04328,54377.73395,0
3025044039702,15.677,0.096,95.12423,-25.04330,54377.74322,0
3025044039702,15.690,0.097,95.12423,-25.04329,54377.75270,0
3025044039702,15.682,0.096,95.12426,-25.04331,54377.76250,0
3025044039702,15.965,0.099,95.12426,-25.04331,54830.62519,0
3025044039702,15.957,0.099,95.12423,-25.04326,54830.63250,0
3025044039702,15.868,0.096,95.12422,-25.04327,54830.63985,0
3025044039702,15.769,0.093,95.12425,-25.04333,54830.64720,0
3025044039702,15.819,0.089,95.12429,-25.04329,54521.55143,0
3025044039702,15.868,0.091,95.12427,-25.04330,54521.56206,0
3025044039702,15.879,0.091,95.12427,-25.04326,54521.57266,0
3025044039702,15.975,0.095,95.12428,-25.04327,54521.58330,0
3025044039702,16.050,0.095,95.12426,-25.04329,54471.66930,0
3025044039702,16.077,0.096,95.12425,-25.04330,54471.67747,0
3025044039702,16.016,0.094,95.12420,-25.04328,54471.68564,0
3025044039702,16.035,0.095,95.12423,-25.04330,54471.69380,0
3025044039702,15.773,0.101,95.12429,-25.04334,54492.56038,0
3025044039702,15.841,0.103,95.12422,-25.04332,54492.57102,0
3025044039702,15.873,0.104,95.12425,-25.04327,54492.58166,0
3025044039702,15.954,0.108,95.12425,-25.04328,54492.59232,0
3025044039702,16.036,0.096,95.12426,-25.04331,54532.48862,0
3025044039702,16.077,0.097,95.12425,-25.04327,54532.49515,0
3025044039702,16.061,0.098,95.12424,-25.04328,54532.50167,0
3025044039702,15.990,0.097,95.12425,-25.04332,54532.50822,0
3025044039702,15.915,0.096,95.12423,-25.04331,54596.38466,0
3025044039702,15.848,0.092,95.12432,-25.04331,54596.39136,0
3025044039702,15.795,0.090,95.12430,-25.04336,54596.39805,0
3025044039702,15.720,0.089,95.12428,-25.04328,54596.40474,0
3025044039702,15.904,0.085,95.12422,-25.04328,54767.71375,0
3025044039702,15.813,0.083,95.12421,-25.04328,54767.72597,0
3025044039702,15.736,0.081,95.12422,-25.04323,54767.73691,0
3025044039702,15.709,0.081,95.12423,-25.04329,54767.74772,0
