###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57380.439382  17.397  0.168   399   67 o  0   1.50  94.91624 -24.69652  4573.18  1220.94 4.72 3.59 -10.4 -0.533 18.20 18.89 02a57380o0348o
57380.454091  17.459  0.194   377   73 o  0   1.24  94.91624 -24.69652  1405.55  9788.82 4.44 3.68 -67.2 -0.449 18.17 18.88 02a57380o0370o
57380.461613  17.989 15.281   232 3538 o  0   0.00  94.91624 -24.69652  3712.11    34.65 5.35 3.61 -13.3 -0.489 18.19 18.87 02a57380o0381o
57380.468871  18.988  0.768    92   71 o  0   1.66  94.91624 -24.69652  3431.98  1797.79 4.93 3.81 -21.2 -0.485 18.15 18.87 02a57380o0392o
57388.349471  16.921  0.044   619   27 o  0   8.55  94.91624 -24.69652  6463.99 10058.93 4.01 3.82  87.0 -0.458 19.14 20.96 02a57388o0264o
57388.352018  17.233  0.101   464   47 o  0   4.56  94.91624 -24.69652  8747.81   306.32 4.82 3.69  17.5 -0.515 19.17 20.98 02a57388o0268o
57388.367059  16.846  0.033   663   22 o  0   8.51  94.91624 -24.69652  6177.99  9472.45 3.77 3.45 -86.0 -0.471 19.26 21.01 02a57388o0291o
57388.386522  17.340  0.062   421   26 o  0   9.42  94.91624 -24.69652  9337.90   911.91 4.47 3.60  25.7 -0.523 19.25 21.02 02a57388o0321o
57388.409840  17.360  0.052   413   21 o  0   6.06  94.91624 -24.69652  7309.99  8912.97 3.77 3.33  85.6 -0.476 19.25 20.95 02a57388o0358o
57389.333427  18.482  0.644   147   95 o  0   2.05  94.91624 -24.69652  8751.81   304.57 5.85 4.01   8.9 -0.416 18.79 20.55 02a57389o0099o
57389.346088  17.522  0.083   356   30 o  0  10.41  94.91624 -24.69652  6462.86 10059.48 4.53 4.25   4.6 -0.410 18.85 20.61 02a57389o0119o
57389.362612  17.847  0.123   264   32 o  0   8.23  94.91624 -24.69652  6177.67  9472.33 4.59 3.82   2.3 -0.406 18.87 20.58 02a57389o0144o
57389.367285  17.764  0.096   285   27 o  0   8.93  94.91624 -24.69652  9341.85   907.55 4.60 3.58  18.8 -0.497 18.98 20.55 02a57389o0151o
57390.330649  21.034  3.586    14   50 c  0   3.06  94.91624 -24.69652  8751.82   305.05 4.69 3.94  14.5 -0.454 19.37 21.34 02a57390o0219c
57390.343362  17.969  0.087   236   21 c  0  14.01  94.91624 -24.69652  6462.24 10060.50 4.24 4.07  87.5 -0.405 19.42 21.42 02a57390o0239c
57390.360025  17.602  0.058   331   19 c  0  10.42  94.91624 -24.69652  6175.60  9474.04 4.05 3.89  83.8 -0.418 19.49 21.50 02a57390o0264c
57390.364666  17.621  0.067   325   22 c  0  12.44  94.91624 -24.69652  9339.57   909.40 4.52 3.78  19.8 -0.464 19.50 21.50 02a57390o0271c
57390.391589  17.237  0.040   463   18 c  0   7.20  94.91624 -24.69652  7315.12  8909.59 3.82 3.51  85.6 -0.427 19.64 21.64 02a57390o0312c
57391.336212  17.443  0.050   383   19 c  0   8.10  94.91624 -24.69652  6462.89 10059.24 4.01 3.91  78.1 -0.413 19.50 21.47 02a57391o0233c
