,Unnamed: 0,patch,skymap,tract,paths,num_columns,num_rows,num_row_groups,file_size,gbs
18,18,44,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/44/objectTable_453_44_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,6566,1,22186591,0.020662873052060604
19,19,45,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/45/objectTable_453_45_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,12920,1,33538882,0.03123551793396473
20,20,46,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/46/objectTable_453_46_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,895,1,1711274,0.0015937481075525284
21,21,50,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/50/objectTable_453_50_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,1049,1,3502647,0.003262094222009182
22,22,51,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/51/objectTable_453_51_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,743,1,1766888,0.0016455426812171936
23,23,54,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/54/objectTable_453_54_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,5823,1,18596428,0.017319273203611374
24,24,55,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/55/objectTable_453_55_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,12621,1,30434208,0.028344064950942993
25,25,56,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/56/objectTable_453_56_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,1064,1,1623021,0.0015115560963749886
26,26,60,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/60/objectTable_453_60_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,1075,1,3608460,0.0033606402575969696
27,27,63,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/63/objectTable_453_63_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,1355,1,4614266,0.004297370091080666
28,28,64,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/64/objectTable_453_64_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,10296,1,28313169,0.026368693448603153
29,29,65,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/65/objectTable_453_65_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,4527,1,9240515,0.008605900220572948
30,30,70,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/70/objectTable_453_70_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,6725,1,15361497,0.01430650893598795
31,31,71,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/71/objectTable_453_71_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,5421,1,17022639,0.015853567980229855
32,32,72,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250125T222439Z/objectTable/453/72/objectTable_453_72_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250125T222439Z.parq,1180,7431,1,24351021,0.022678655572235584
33,33,73,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/73/objectTable_453_73_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,11679,1,32490892,0.030259501188993454
34,34,74,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/74/objectTable_453_74_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,10691,1,22179190,0.020655980333685875
35,35,75,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/75/objectTable_453_75_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,3881,1,6427282,0.005985872820019722
36,36,80,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/80/objectTable_453_80_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,646,1,1265609,0.0011786902323365211
37,37,81,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/81/objectTable_453_81_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,5808,1,13328768,0.012413382530212402
38,38,82,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/82/objectTable_453_82_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,5260,1,12519545,0.011659734882414341
39,39,83,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/83/objectTable_453_83_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,7716,1,14220336,0.013243719935417175
