,Unnamed: 0,skymap,tract,paths,num_columns,num_rows,num_row_groups,file_size,gbs
17,17,lsst_cells_v1,2394,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/2394/diaSourceTable_tract_2394_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,599534,1,119876428,0.11164362356066704
18,18,lsst_cells_v1,7850,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/7850/diaSourceTable_tract_7850_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,414113,1,89393288,0.08325398713350296
19,19,lsst_cells_v1,454,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/454/diaSourceTable_tract_454_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,136861,1,33592887,0.03128581400960684
20,20,lsst_cells_v1,4217,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/4217/diaSourceTable_tract_4217_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,5486,1,1298397,0.0012092264369130135
21,21,lsst_cells_v1,5525,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/5525/diaSourceTable_tract_5525_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,669474,1,140112468,0.13048990443348885
22,22,lsst_cells_v1,2393,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/2393/diaSourceTable_tract_2393_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,1519,1,394838,0.0003677215427160263
23,23,lsst_cells_v1,4218,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/4218/diaSourceTable_tract_4218_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,42066,1,9607443,0.008947628550231457
24,24,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/453/diaSourceTable_tract_453_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,288902,1,67130370,0.06252002902328968
25,25,lsst_cells_v1,10222,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/10222/diaSourceTable_tract_10222_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,67,1,69153,6.440375000238419e-05
26,26,lsst_cells_v1,10704,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/10704/diaSourceTable_tract_10704_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,43797,1,10532061,0.009808746166527271
27,27,lsst_cells_v1,5063,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaSourceTable_tract/5063/diaSourceTable_tract_5063_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,85,1304584,1,248628228,0.2315530814230442
