,Unnamed: 0,skymap,tract,paths,num_columns,num_rows,num_row_groups,file_size,gbs
17,17,lsst_cells_v1,4849,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/4849/diaObjectTable_tract_4849_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,137,284008,1,50030201,0.04659425560384989
18,18,lsst_cells_v1,5062,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/5062/diaObjectTable_tract_5062_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,27,1,1,19517,1.8176622688770294e-05
19,19,lsst_cells_v1,7611,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/7611/diaObjectTable_tract_7611_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,316818,1,51895674,0.04833161272108555
20,20,lsst_cells_v1,7610,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/7610/diaObjectTable_tract_7610_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,229521,1,38472876,0.03583065792918205
21,21,lsst_cells_v1,4017,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/4017/diaObjectTable_tract_4017_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,71,16301,1,3015076,0.0028080083429813385
22,22,lsst_cells_v1,10463,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/10463/diaObjectTable_tract_10463_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,100999,1,18206586,0.016956204548478127
23,23,lsst_cells_v1,7849,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/7849/diaObjectTable_tract_7849_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,5322,1,1158687,0.001079111360013485
24,24,lsst_cells_v1,5063,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/5063/diaObjectTable_tract_5063_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,137,810785,1,138400271,0.12889529671519995
25,25,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/453/diaObjectTable_tract_453_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,129021,1,28504464,0.02654685080051422
26,26,lsst_cells_v1,10704,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/10704/diaObjectTable_tract_10704_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,93,26688,1,4947015,0.0046072667464613914
27,27,lsst_cells_v1,5305,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/diaObjectTable_tract/5305/diaObjectTable_tract_5305_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,137,7507,1,1432606,0.0013342183083295822
